Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
Município;210190;Bequimão;278;0;0,00;1.306,39;0;0;20;0;0,00;93,98;7,19
Município;210193;Bernardo do Mearim;292;0;0,00;4.832,04;0;0;6;0;0,00;99,29;2,05
Município;210197;Boa Vista do Gurupi;15;0;0,00;161,52;0;0;4;0;0,00;43,07;26,67
Município;210200;Bom Jardim;1.401;0;0,00;3.365,36;0;0;48;0;0,00;115,30;3,43
Município;210203;Bom Jesus das Selvas;3.233;0;0,00;9.501,00;0;0;24;0;0,00;70,53;0,74
Município;210207;Bom Lugar;473;0;0,00;2.902,91;0;0;7;0;0,00;42,96;1,48
Município;210210;Brejo;893;0;0,00;2.453,50;0;0;19;0;0,00;52,20;2,13
Município;210215;Brejo de Areia;306;0;0,00;3.330,43;0;0;10;0;0,00;108,84;3,27
Município;210220;Buriti;779;27;3,59;2.716,37;0;0;8;0;0,00;27,90;1,03
Município;210230;Buriti Bravo;1.523;41;2,77;6.376,65;0;0;15;0;0,00;62,80;0,98
Município;210232;Buriticupu;3.406;9;0,26;4.707,15;0;0;53;0;0,00;73,25;1,56
Município;210235;Buritirana;446;1;0,22;2.890,47;0;0;24;0;0,00;155,54;5,38
Município;210237;Cachoeira Grande;305;0;0,00;3.234,02;0;0;7;0;0,00;74,22;2,30
Município;210240;Cajapió;128;0;0,00;1.145,21;0;0;7;0;0,00;62,63;5,47
Município;210250;Cajari;233;1;0,43;1.202,33;0;0;8;0;0,00;41,28;3,43
Município;210255;Campestre do Maranhão;1.061;5;0,47;7.381,38;0;0;44;0;0,00;306,11;4,15
Município;210260;Cândido Mendes;108;0;0,00;535,24;0;0;7;0;0,00;34,69;6,48
Município;210270;Cantanhede;876;22;2,58;3.982,72;0;0;13;0;0,00;59,10;1,48
Município;210275;Capinzal do Norte;643;0;0,00;5.880,74;0;0;7;0;0,00;64,02;1,09
Município;210280;Carolina;972;4;0,41;3.996,38;0;0;20;0;0,00;82,23;2,06
Município;210290;Carutapera;914;8;0,88;3.839,21;0;0;34;0;0,00;142,82;3,72
Município;210300;Caxias;10.814;18;0,17;6.558,71;0;0;252;3;1,20;152,84;2,33
Município;210310;Cedral;202;0;0,00;1.892,27;0;0;4;0;0,00;37,47;1,98
Município;210312;Central do Maranhão;44;0;0,00;507,32;0;0;3;0;0,00;34,59;6,82
Município;210315;Centro do Guilherme;465;0;0,00;3.455,19;0;0;5;0;0,00;37,15;1,08
Município;210317;Centro Novo do Maranhão;1.103;0;0,00;5.101,29;0;0;9;0;0,00;41,62;0,82
Município;210320;Chapadinha;4.804;0;0,00;6.029,49;0;0;112;0;0,00;140,57;2,33
Município;210325;Cidelândia;562;8;1,44;3.823,91;0;0;6;0;0,00;40,82;1,07
Município;210330;Codó;2.914;0;0,00;2.371,82;0;0;198;0;0,00;161,16;6,79
Município;210340;Coelho Neto;1.627;0;0,00;3.291,19;0;0;47;0;0,00;95,07;2,89
Município;210350;Colinas;3.045;5;0,16;7.394,73;0;0;46;0;0,00;111,71;1,51
Município;210355;Conceição do Lago-Açu;221;0;0,00;1.361,09;0;0;11;0;0,00;67,75;4,98
Município;210360;Coroatá;3.107;0;0,00;4.758,33;0;0;67;0;0,00;102,61;2,16
Município;210370;Cururupu;1.350;0;0,00;4.129,07;0;0;25;0;0,00;76,46;1,85
Município;210375;Davinópolis;587;0;0,00;4.547,57;0;0;26;0;0,00;201,43;4,43
Município;210380;Dom Pedro;1.267;9;0,72;5.426,12;0;0;24;0;0,00;102,78;1,89
Município;210390;Duque Bacelar;755;0;0,00;6.652,57;0;0;13;0;0,00;114,55;1,72
Município;210400;Esperantinópolis;896;0;0,00;5.196,91;0;0;22;0;0,00;127,60;2,46
Município;210405;Estreito;3.405;1;0,03;8.117,58;0;0;54;1;1,89;128,74;1,59
Município;210407;Feira Nova do Maranhão;1.488;0;0,00;17.497,65;0;0;9;0;0,00;105,83;0,60
Município;210408;Fernando Falcão;848;0;0,00;8.185,33;0;0;1;0;0,00;9,65;0,12
Município;210409;Formosa da Serra Negra;1.237;0;0,00;6.480,17;0;0;8;0;0,00;41,91;0,65
Município;210410;Fortaleza dos Nogueiras;1.199;7;0,59;9.492,52;0;0;17;0;0,00;134,59;1,42
Município;210420;Fortuna;1.476;0;0,00;9.490,74;0;0;5;0;0,00;32,15;0,34
Município;210430;Godofredo Viana;149;0;0,00;1.260,68;0;0;5;0;0,00;42,30;3,36
Município;210440;Gonçalves Dias;988;2;0,20;5.509,09;0;0;20;0;0,00;111,52;2,02
Município;210450;Governador Archer;432;0;0,00;3.985,24;0;0;6;0;0,00;55,35;1,39
Município;210455;Governador Edison Lobão;615;0;0,00;3.361,39;0;0;31;0;0,00;169,44;5,04
Município;210460;Governador Eugênio Barros;1.228;64;5,50;7.297,36;0;0;9;0;0,00;53,48;0,73
Município;210462;Governador Luiz Rocha;270;3;1,12;3.458,43;0;0;1;0;0,00;12,81;0,37
Município;210465;Governador Newton Bello;765;0;0,00;7.514,73;0;0;8;0;0,00;78,59;1,05
Município;210467;Governador Nunes Freire;862;0;0,00;3.370,22;0;0;9;0;0,00;35,19;1,04
Município;210470;Graça Aranha;124;0;0,00;1.980,20;0;0;3;0;0,00;47,91;2,42
Município;210480;Grajaú;4.796;14;0,29;6.898,04;0;0;109;0;0,00;156,77;2,27
Município;210490;Guimarães;367;0;0,00;3.050,71;0;0;7;0;0,00;58,19;1,91
Município;210500;Humberto de Campos;1.621;9;0,56;5.644,74;0;0;9;0;0,00;31,34;0,56
Município;210510;Icatu;261;1;0,38;962,64;0;0;13;1;8,33;47,95;4,98
Município;210515;Igarapé do Meio;726;1;0,14;5.120,97;0;0;27;0;0,00;190,45;3,72
Município;210520;Igarapé Grande;1.652;0;0,00;14.593,64;0;0;12;0;0,00;106,01;0,73
Município;210530;Imperatriz;16.852;51;0,30;6.514,56;0;0;778;0;0,00;300,76;4,62
Município;210535;Itaipava do Grajaú;905;1;0,11;5.636,17;0;0;9;1;12,50;56,05;0,99
Município;210540;Itapecuru Mirim;2.950;22;0,75;4.325,32;0;0;74;0;0,00;108,50;2,51
Município;210542;Itinga do Maranhão;836;3;0,36;3.215,38;0;0;28;0;0,00;107,69;3,35
Município;210545;Jatobá;91;0;0,00;896,29;0;0;5;0;0,00;49,25;5,49
Município;210547;Jenipapo dos Vieiras;1.139;0;0,00;6.896,76;0;0;20;0;0,00;121,10;1,76
